tool	rank	samples	mean_L1_total_variation_pctpts	mean_BrayCurtis_pct	mean_Precision_%	mean_Recall_%	mean_F1_%
sourmash_gather	family	7	54.7083	95.7395	42.86	5.40	9.54
sourmash_gather	genus	7	54.5947	95.7375	42.86	4.07	7.41
sourmash_gather	order	7	54.7083	95.7395	42.86	6.55	11.34
sourmash_gather	phylum	7	42.8571	75.0000	100.00	39.28	55.72
sourmash_gather	species	7	54.7082	95.7395	42.86	2.89	5.40
sourmash_gather	superkingdom	7	48.9796	77.3810	57.14	54.76	55.71
tama	class	7	43.1964	75.5692	97.62	81.19	87.37
tama	family	7	43.8088	76.6414	90.00	60.95	69.69
tama	genus	7	45.0045	79.0980	83.48	46.97	55.31
tama	order	7	43.7966	76.6192	96.43	74.41	81.60
tama	phylum	7	43.1294	75.4519	96.43	88.10	90.34
tama	species	7	45.4264	79.4707	79.52	40.14	50.81
tama	superkingdom	7	48.9774	77.3346	69.05	88.10	76.67
viwrap	class	5	74.5074	100.0000	0.00	0.00	0.00
viwrap	family	5	50.6073	100.0000	0.00	0.00	0.00
viwrap	genus	5	49.8411	100.0000	0.00	0.00	0.00
viwrap	order	5	50.3779	100.0000	0.00	0.00	0.00
viwrap	phylum	5	74.5074	100.0000	0.00	0.00	0.00
viwrap	species	5	49.9999	100.0000	0.00	0.00	0.00
viwrap	superkingdom	5	74.5074	100.0000	0.00	0.00	0.00
