sample	tool	stage	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb
cami_ii_marine	camitax	eval	13.87	10.29	1.61	0.925	2.229	0.0
cami_ii_mousegut	camitax	run	0.08	0.04	0.04	0.008	0.0	0.0
cami_ii_mousegut	camitax	eval	14.15	10.52	1.6	0.925	2.213	0.0
cami_ii_strainmadness	camitax	run	0.09	0.04	0.04	0.008	0.0	0.0
cami_ii_strainmadness	camitax	eval	13.64	10.26	1.65	0.925	2.203	0.0
cami_sample_0	camitax	run	0.08	0.04	0.04	0.008	0.0	0.0
cami_sample_0	camitax	eval	14.95	10.73	1.74	0.925	2.229	0.0
cami_i_hc	centrifuge	run	95.6	181.39	0.64	0.247	0.074	0.005
cami_i_hc	centrifuge	eval	14.84	17.12	2.39	0.925	0.0	0.0
cami_i_lc	centrifuge	run	14.29	29.76	0.52	0.165	0.075	0.003
cami_i_lc	centrifuge	eval	14.01	16.83	2.37	0.925	0.0	0.0
cami_i_mc	centrifuge	run	1.75	5.53	0.54	0.09	0.074	0.003
cami_i_mc	centrifuge	eval	14.6	16.82	2.33	0.925	0.0	0.0
cami_ii_marine	centrifuge	run	0.49	1.08	0.26	0.045	0.074	0.003
cami_ii_marine	centrifuge	eval	14.2	16.05	2.29	0.925	0.0	0.0
cami_ii_mousegut	centrifuge	run	0.7	2.53	0.33	0.063	0.074	0.006
cami_ii_mousegut	centrifuge	eval	14.11	16.04	2.33	0.925	0.0	0.0
cami_ii_strainmadness	centrifuge	run	0.4	0.71	0.23	0.044	0.074	0.002
cami_ii_strainmadness	centrifuge	eval	14.06	15.87	2.32	0.926	0.0	0.0
cami_sample_0	centrifuge	run	107.87	248.11	1.17	0.317	0.074	0.022
cami_sample_0	centrifuge	eval	17.42	19.34	2.52	0.925	0.0	0.0
cami_i_hc	ganon2	run	1.35	5.39	0.39	0.092	0.081	0.0
cami_i_hc	ganon2	eval	12.32	12.83	1.69	0.925	0.0	0.0
cami_i_lc	ganon2	run	1.7	7.9	0.32	0.087	0.09	0.0
cami_i_lc	ganon2	eval	12.4	13.06	1.71	0.925	0.0	0.0
cami_i_mc	ganon2	run	1.78	9.47	0.29	0.088	0.081	0.0
cami_i_mc	ganon2	eval	12.01	12.42	1.69	0.925	0.0	0.0
cami_ii_marine	ganon2	run	0.89	2.74	0.28	0.072	0.081	0.0
cami_ii_marine	ganon2	eval	11.85	12.14	1.67	0.925	0.0	0.0
cami_ii_mousegut	ganon2	run	1.07	3.93	0.33	0.073	0.081	0.001
cami_ii_mousegut	ganon2	eval	12.72	13.13	1.79	0.925	0.0	0.0
cami_ii_strainmadness	ganon2	run	0.93	2.59	0.29	0.071	0.081	0.0
cami_ii_strainmadness	ganon2	eval	12.36	12.91	1.66	0.925	0.0	0.0
cami_sample_0	ganon2	run	3.42	21.68	0.71	0.178	0.082	0.001
cami_sample_0	ganon2	eval	12.62	13.1	1.67	0.925	0.0	0.0
cami_i_hc	hymet	run	63.54	67.4	4.67	1.691	0.0	0.126
cami_i_hc	hymet	eval	18.38	21.34	2.45	1.142	0.0	0.0
cami_i_lc	hymet	run	64.15	67.81	5.13	1.682	0.0	0.118
cami_i_lc	hymet	eval	18.06	21.29	2.53	1.176	0.0	0.0
cami_i_mc	hymet	run	63.07	65.82	4.63	1.658	0.0	0.077
cami_i_mc	hymet	eval	17.94	21.68	2.46	1.123	0.0	0.0
cami_ii_marine	hymet	run	211.77	196.78	24.66	17.359	0.106	0.176
cami_ii_marine	hymet	eval	17.87	20.46	2.38	1.054	0.0	0.0
cami_ii_mousegut	hymet	run	129.67	71.61	12.29	2.269	0.008	3.46
cami_ii_mousegut	hymet	eval	18.04	20.74	2.4	1.093	0.0	0.0
cami_ii_strainmadness	hymet	run	210.48	193.49	24.32	17.35	0.142	0.091
cami_ii_strainmadness	hymet	eval	18.66	20.94	2.45	1.122	0.002	0.0
cami_sample_0	hymet	run	68.82	80.59	5.12	1.699	0.0	0.35
cami_sample_0	hymet	eval	18.44	20.7	2.49	1.081	0.0	0.0
cami_i_hc	kraken2	run	38.92	4.09	19.91	11.0	19.729	0.017
cami_i_hc	kraken2	eval	12.25	12.79	1.71	0.926	0.006	0.0
cami_i_lc	kraken2	run	41.92	4.48	20.07	10.948	19.737	0.017
cami_i_lc	kraken2	eval	12.57	13.51	1.59	0.925	0.002	0.0
cami_i_mc	kraken2	run	39.45	4.62	19.55	10.94	19.736	0.014
cami_i_mc	kraken2	eval	12.88	13.87	1.62	0.925	0.003	0.0
cami_ii_marine	kraken2	run	37.68	1.66	19.79	10.856	19.692	0.007
cami_ii_marine	kraken2	eval	12.51	12.98	1.71	0.925	0.004	0.0
cami_ii_mousegut	kraken2	run	38.45	2.85	19.76	10.918	19.671	0.015
cami_ii_mousegut	kraken2	eval	12.66	13.09	1.7	0.926	0.0	0.0
cami_ii_strainmadness	kraken2	run	37.4	1.3	19.14	10.832	19.682	0.004
cami_ii_strainmadness	kraken2	eval	12.51	13.33	1.71	0.926	0.002	0.0
cami_sample_0	kraken2	run	45.17	17.9	20.65	11.151	19.663	0.073
cami_sample_0	kraken2	eval	14.21	14.73	1.68	0.926	0.022	0.0
cami_i_hc	megapath_nano	run	22.020	29.070	10.310	10.608	0.000	0.437
cami_i_hc	megapath_nano	eval	10.690	9.610	1.070	0.926	0.006	0.000
cami_i_lc	megapath_nano	run	23.300	39.510	10.030	10.389	0.000	0.492
cami_i_lc	megapath_nano	eval	11.300	10.190	1.100	0.926	0.003	0.000
cami_i_mc	megapath_nano	run	20.470	35.170	10.040	9.990	0.000	0.445
cami_i_mc	megapath_nano	eval	10.700	9.650	1.030	0.926	0.004	0.000
cami_ii_marine	megapath_nano	run	17.330	14.020	9.140	9.502	0.000	0.175
cami_ii_marine	megapath_nano	eval	10.880	9.780	1.100	0.925	0.004	0.000
cami_ii_mousegut	megapath_nano	run	20.900	21.750	10.070	9.885	0.000	0.343
cami_ii_mousegut	megapath_nano	eval	10.630	9.660	0.950	0.926	0.006	0.000
cami_ii_strainmadness	megapath_nano	run	16.270	11.720	8.990	9.503	0.000	0.101
cami_ii_strainmadness	megapath_nano	eval	10.500	9.430	1.070	0.926	0.000	0.000
cami_sample_0	megapath_nano	run	48.490	107.090	14.770	11.493	0.002	1.944
cami_sample_0	megapath_nano	eval	11.100	9.860	1.200	0.926	0.024	0.000
cami_i_hc	metaphlan4	run	144.21	203.24	64.36	18.756	30.009	0.001
cami_i_hc	metaphlan4	eval	10.02	9.0	1.01	0.925	0.0	0.0
cami_i_lc	metaphlan4	run	147.76	201.34	63.65	18.754	30.737	0.002
cami_i_lc	metaphlan4	eval	10.88	9.81	1.07	0.925	0.0	0.0
cami_i_mc	metaphlan4	run	146.55	206.89	66.87	18.755	30.214	0.002
cami_i_mc	metaphlan4	eval	10.44	9.4	1.04	0.925	0.0	0.0
cami_ii_marine	metaphlan4	run	141.03	173.31	64.74	18.756	29.9	0.001
cami_ii_marine	metaphlan4	eval	10.93	9.9	1.02	0.925	0.0	0.0
cami_ii_mousegut	metaphlan4	run	141.59	185.49	62.15	18.755	29.994	0.001
cami_ii_mousegut	metaphlan4	eval	10.17	9.09	1.07	0.925	0.0	0.0
cami_ii_strainmadness	metaphlan4	run	134.19	153.68	62.53	18.754	29.862	0.0
cami_ii_strainmadness	metaphlan4	eval	10.69	9.68	1.0	0.925	0.002	0.0
cami_sample_0	metaphlan4	run	170.47	367.88	69.39	18.756	29.872	0.007
cami_sample_0	metaphlan4	eval	10.51	9.32	1.14	0.925	0.022	0.0
cami_i_hc	phabox	run	53.47	102.17	6.1	2.006	0.0	0.698
cami_i_hc	phabox	eval	10.69	9.69	1.0	0.925	0.0	0.0
cami_i_lc	phabox	run	64.53	205.73	6.15	2.022	0.515	0.812
cami_i_lc	phabox	eval	10.59	9.65	0.93	0.926	0.0	0.0
cami_i_mc	phabox	run	61.94	222.7	6.06	2.034	0.0	0.852
cami_i_mc	phabox	eval	10.68	9.7	0.97	0.925	0.0	0.0
cami_ii_marine	phabox	run	4.35	5.07	0.8	0.443	0.0	0.023
cami_ii_marine	phabox	eval	10.91	9.89	1.02	0.925	0.0	0.0
cami_ii_mousegut	phabox	run	32.51	46.03	5.69	1.995	0.0	0.596
cami_ii_mousegut	phabox	eval	11.19	10.11	1.08	0.925	0.0	0.0
cami_ii_strainmadness	phabox	run	4.12	4.82	0.75	0.444	0.0	0.012
cami_ii_strainmadness	phabox	eval	10.55	9.56	0.98	0.926	0.0	0.0
cami_sample_0	phabox	run	105.67	447.13	7.37	2.082	2.055	1.38
cami_sample_0	phabox	eval	11.1	10.08	1.02	0.926	0.0	0.0
cami_i_hc	phyloflash	run	29.93	65.24	12.47	4.323	0.0	0.006
cami_i_hc	phyloflash	eval	10.82	9.8	1.0	0.926	0.0	0.0
cami_i_lc	phyloflash	run	28.89	60.17	12.52	4.321	0.0	0.005
cami_i_lc	phyloflash	eval	10.86	9.85	1.0	0.925	0.0	0.0
cami_i_mc	phyloflash	run	30.06	67.64	12.74	4.342	0.0	0.005
cami_i_mc	phyloflash	eval	10.93	9.86	1.06	0.926	0.0	0.0
cami_ii_marine	phyloflash	run	25.23	39.42	9.02	4.26	0.021	0.005
cami_ii_marine	phyloflash	eval	10.18	9.14	1.03	0.925	0.0	0.0
cami_ii_mousegut	phyloflash	run	28.88	52.8	12.44	4.301	0.04	0.006
cami_ii_mousegut	phyloflash	eval	13.01	11.9	1.1	0.925	0.0	0.0
cami_ii_strainmadness	phyloflash	run	24.69	37.2	11.88	4.272	0.0	0.004
cami_ii_strainmadness	phyloflash	eval	10.54	9.51	1.03	0.925	0.0	0.0
cami_sample_0	phyloflash	run	2.01	2.0	2.29	0.066	0.0	0.0
cami_sample_0	phyloflash	eval	11.16	10.0	1.15	0.925	0.0	0.0
cami_i_hc	snakemags	run	34.000	904.350	512.930	28.861	0.000	0.000
cami_i_hc	snakemags	eval	13.760	10.010	1.520	0.925	0.000	0.000
cami_i_lc	snakemags	run	41.000	915.900	384.590	28.821	0.000	0.000
cami_i_lc	snakemags	eval	13.920	10.180	1.480	0.925	0.000	0.000
cami_i_mc	snakemags	run	14.270	716.830	184.690	28.785	0.000	0.000
cami_i_mc	snakemags	eval	13.910	10.030	1.480	0.925	0.000	0.000
cami_ii_marine	snakemags	run	0.350	0.200	0.100	0.013	0.000	0.000
cami_ii_marine	snakemags	eval	10.620	9.580	1.030	0.925	0.000	0.000
cami_ii_mousegut	snakemags	run	14.450	299.200	89.020	13.816	0.000	0.000
cami_ii_mousegut	snakemags	eval	10.540	9.540	0.990	0.925	0.000	0.000
cami_ii_strainmadness	snakemags	run	0.290	0.190	0.080	0.013	0.000	0.000
cami_ii_strainmadness	snakemags	eval	10.760	9.750	1.000	0.925	0.000	0.000
cami_sample_0	snakemags	run	44.000	2003.380	1289.860	28.764	0.000	0.000
cami_sample_0	snakemags	eval	14.080	10.200	1.650	0.925	0.000	0.000
cami_i_hc	sourmash_gather	run	4.55	8.82	1.21	0.812	0.0	0.001
cami_i_hc	sourmash_gather	eval	10.36	9.34	1.02	0.925	0.0	0.0
cami_i_lc	sourmash_gather	run	4.72	9.1	1.15	0.785	0.02	0.001
cami_i_lc	sourmash_gather	eval	10.63	9.6	1.03	0.925	0.0	0.0
cami_i_mc	sourmash_gather	run	4.57	9.04	1.13	0.812	0.0	0.001
cami_i_mc	sourmash_gather	eval	10.8	9.7	1.09	0.925	0.0	0.0
cami_ii_marine	sourmash_gather	run	3.97	8.46	1.1	0.764	0.0	0.0
cami_ii_marine	sourmash_gather	eval	10.83	9.81	1.02	0.925	0.0	0.0
cami_ii_mousegut	sourmash_gather	run	4.13	8.07	1.12	0.787	0.0	0.001
cami_ii_mousegut	sourmash_gather	eval	10.8	9.77	1.02	0.925	0.0	0.0
cami_ii_strainmadness	sourmash_gather	run	3.87	8.41	1.12	0.786	0.0	0.0
cami_ii_strainmadness	sourmash_gather	eval	10.59	9.58	1.01	0.925	0.0	0.0
cami_sample_0	sourmash_gather	run	7.98	12.14	1.18	0.789	0.004	0.004
cami_sample_0	sourmash_gather	eval	11.08	10.07	1.0	0.925	0.0	0.0
cami_i_hc	tama	run	36.61	8.88	16.07	9.635	14.271	0.047
cami_i_hc	tama	eval	11.02	9.96	1.06	0.925	0.0	0.0
cami_i_lc	tama	run	50.21	11.34	13.52	9.634	15.163	0.053
cami_i_lc	tama	eval	20.63	13.22	1.25	0.925	0.0	0.0
cami_i_mc	tama	run	43.33	12.13	13.59	9.635	14.81	0.056
cami_i_mc	tama	eval	10.78	9.75	1.02	0.925	0.0	0.0
cami_ii_marine	tama	run	65.38	13.1	30.88	26.459	23.322	0.017
cami_ii_marine	tama	eval	14.2	11.84	1.63	0.925	2.216	0.0
cami_ii_mousegut	tama	run	62.24	10.6	31.34	26.033	22.215	0.033
cami_ii_mousegut	tama	eval	12.53	9.91	1.61	0.925	2.219	0.0
cami_ii_strainmadness	tama	run	66.46	10.34	34.33	27.122	24.795	0.009
cami_ii_strainmadness	tama	eval	12.1	10.07	1.45	0.925	2.215	0.0
cami_sample_0	tama	run	65.05	15.88	14.43	9.634	19.474	0.213
cami_sample_0	tama	eval	26.0	14.61	1.34	0.925	0.0	0.0
cami_i_hc	viwrap	run	2645.28	6563.57	2075.63	18.379	0.343	1.326
cami_i_hc	viwrap	eval	13.86	12.25	1.24	0.925	0.011	0.0
cami_i_lc	viwrap	run	1120.16	3979.85	1093.63	18.378	3.642	1.182
cami_i_lc	viwrap	eval	14.72	11.67	1.71	0.925	2.204	0.0
cami_i_mc	viwrap	run	1708.61	4908.31	1423.71	18.382	1.243	1.275
cami_i_mc	viwrap	eval	22.12	12.7	1.92	0.925	2.207	0.0
cami_ii_marine	viwrap	run	0.0	0.0	0.0	0.0	0.0	0.0
cami_ii_mousegut	viwrap	run	2599.09	6735.67	2154.56	18.377	0.054	1.149
cami_ii_mousegut	viwrap	eval	11.4	10.3	1.09	0.925	0.006	0.0
cami_sample_0	viwrap	run	456.82	1964.17	728.44	1.358	0.305	0.155
cami_sample_0	viwrap	eval	11.63	10.44	1.16	0.925	0.024	0.0
